video,Sentiment Score,C-Label,S-Label
video82,0.5,Social Interaction,Neutral
video2,0.5,Social Interaction,Neutral
video60,0.25,Audience Reaction,Negative
video47,0.25,Audience Reaction,Negative
video82,0.5,Audience Reaction,Neutral
video15,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.95,Game Plot,Highly Positive
video100,0.5,Social Interaction,Neutral
video23,0.25,Audience Reaction,Negative
video55,0.95,Social Interaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video23,0.5,Social Interaction,Neutral
video2,0.15,Audience Reaction,Highly Negative
video82,0.5,Game Plot,Neutral
video24,0.25,Audience Feedback,Negative
video16,0.65,Social Interaction,Positive
video82,0.85,Audience Reaction,Highly Positive
video8,0.35,Game Experience,Negative
video91,0.925,Social Interaction,Highly Positive
video60,0.35,Game Experience,Negative
video112,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.75,Audience Reaction,Positive
video8,0.5,Game Design,Neutral
video60,0.5,Social Interaction,Neutral
video2,0.75,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video47,0.35,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video117,0.925,Social Interaction,Highly Positive
video75,0.789,Game Plot,Positive
video82,0.75,Audience Reaction,Positive
video85,0.357,Social Interaction,Negative
video91,0.5,Social Interaction,Neutral
video61,0.45,Game Experience,Neutral
video106,0.25,Audience Reaction,Negative
video39,0.5,Audience Reaction,Neutral
video114,0.5,Audience Reaction,Neutral
video50,0.95,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video56,0.5,Social Interaction,Neutral
video93,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video3,0.85,Information Share,Highly Positive
video117,0.95,Social Interaction,Highly Positive
video82,0.5,Game Plot,Neutral
video82,0.85,Audience Reaction,Highly Positive
video3,0.95,Audience Reaction,Highly Positive
video60,0.456,Game Experience,Neutral
video82,0.65,Social Interaction,Positive
video24,0.75,Audience Reaction,Positive
video50,0.85,Social Interaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video59,0.5,Social Interaction,Neutral
video51,0.75,Audience Anticipation,Positive
video111,0.6,Audience Reaction,Positive
video82,0.5,Audience Reaction,Neutral
video48,0.5,Social Interaction,Neutral
video2,0.95,Game Design,Highly Positive
video46,0.85,Social Interaction,Highly Positive
video47,0.5,Audience Reaction,Neutral
video4,0.85,Social Interaction,Highly Positive
video16,0.85,Social Interaction,Highly Positive
video85,0.85,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video2,0.5,Social Interaction,Neutral
video60,0.75,Game Experience,Positive
video114,0.25,Audience Reaction,Negative
video2,0.85,Audience Reaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video2,0.5,Social Interaction,Neutral
video92,0.5,Game Design,Neutral
video54,0.65,Game Experience,Positive
video9,0.5,Audience Anticipation,Neutral
video92,0.75,Game Plot,Positive
video49,0.75,Audience Reaction,Positive
video21,0.25,Audience Feedback,Negative
video82,0.25,Audience Reaction,Negative
video85,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video82,0.35,Game Experience,Negative
video60,0.35,Game Design,Negative
video82,0.5,Game Design,Neutral
video10,0.75,Game Plot,Positive
video85,0.65,Audience Reaction,Positive
video3,0.25,Audience Feedback,Negative
video82,0.5,Game Design,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.45,Social Interaction,Neutral
video54,0.5,Audience Reaction,Neutral
video82,0.85,Game Plot,Highly Positive
video102,0.85,Social Interaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video61,0.35,Social Interaction,Negative
video3,0.75,Game Design,Positive
video25,0.5,Game Design,Neutral
video111,0.925,Audience Anticipation,Highly Positive
video4,0.65,Audience Reaction,Positive
video50,0.5,Game Design,Neutral
video92,0.75,Game Plot,Positive
video62,0.5,Social Interaction,Neutral
video82,0.25,Game Experience,Negative
video2,0.25,Audience Feedback,Negative
video9,0.45,Social Interaction,Neutral
video121,0.45,Audience Reaction,Neutral
video2,0.85,Audience Anticipation,Highly Positive
video4,0.25,Audience Anticipation,Negative
video53,0.65,Game Experience,Positive
video4,0.15,Audience Reaction,Highly Negative
video7,0.85,Social Interaction,Highly Positive
video82,0.0,Audience Reaction,Highly Negative
video23,0.75,Social Interaction,Positive
video65,0.85,Social Interaction,Highly Positive
video4,0.2,Audience Reaction,Negative
video114,0.5,Social Interaction,Neutral
video3,0.925,Audience Reaction,Highly Positive
video112,0.75,Audience Reaction,Positive
video55,0.75,Audience Reaction,Positive
video81,0.85,Audience Feedback,Highly Positive
video82,0.5,Social Interaction,Neutral
video65,0.5,Game Plot,Neutral
video106,0.153,Audience Feedback,Highly Negative
video4,0.85,Game Requirement,Highly Positive
video100,0.95,Information Share,Highly Positive
video44,0.925,Audience Reaction,Highly Positive
video70,0.15,Social Interaction,Highly Negative
video50,0.25,Audience Feedback,Negative
video56,0.5,Game Design,Neutral
video76,0.25,Game Experience,Negative
video23,0.5,Social Interaction,Neutral
video23,0.652,Game Design,Positive
video49,0.5,Game Design,Neutral
video82,0.95,Social Interaction,Highly Positive
video2,0.65,Game Design,Positive
video85,0.5,Game Plot,Neutral
video82,0.5,Game Design,Neutral
video8,0.85,Audience Reaction,Highly Positive
video114,0.35,Social Interaction,Negative
video82,0.65,Audience Feedback,Positive
video100,0.5,Audience Reaction,Neutral
video18,0.85,Information Share,Highly Positive
video23,0.852,Game Design,Highly Positive
video14,0.5,Social Interaction,Neutral
video8,0.35,Game Experience,Negative
video116,0.9,Social Interaction,Highly Positive
video51,0.0,Social Interaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video47,0.75,Social Interaction,Positive
video82,0.5,Audience Anticipation,Neutral
video59,0.45,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video3,0.25,Game Experience,Negative
video47,0.85,Audience Reaction,Highly Positive
video117,0.925,Social Interaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.2,Social Interaction,Negative
video112,0.15,Audience Reaction,Highly Negative
video19,0.85,Social Interaction,Highly Positive
video92,0.25,Game Experience,Negative
video82,0.85,Social Interaction,Highly Positive
video3,0.925,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video56,0.25,Social Interaction,Negative
video82,0.45,Social Interaction,Neutral
video82,0.35,Game Experience,Negative
video82,0.65,Game Design,Positive
video20,0.35,Game Design,Negative
video4,0.5,Audience Anticipation,Neutral
video82,0.652,Information Share,Positive
video23,0.5,Social Interaction,Neutral
video3,0.925,Audience Anticipation,Highly Positive
video80,0.45,Audience Feedback,Neutral
video59,0.357,Audience Reaction,Negative
video75,0.5,Audience Reaction,Neutral
video78,0.5,Game Plot,Neutral
video82,0.75,Audience Reaction,Positive
video81,0.75,Audience Reaction,Positive
video20,0.65,Game Design,Positive
video102,0.5,Game Design,Neutral
video4,0.85,Game Design,Highly Positive
video2,0.85,Audience Anticipation,Highly Positive
video62,0.85,Social Interaction,Highly Positive
video82,0.925,Audience Reaction,Highly Positive
video106,0.5,Audience Reaction,Neutral
video82,0.65,Game Plot,Positive
video47,0.75,Social Interaction,Positive
video2,0.25,Audience Reaction,Negative
video82,0.5,Game Experience,Neutral
video117,0.925,Game Design,Highly Positive
video82,0.25,Audience Reaction,Negative
video82,0.15,Social Interaction,Highly Negative
video85,0.95,Audience Reaction,Highly Positive
video82,0.9,Audience Feedback,Highly Positive
video110,0.5,Game Design,Neutral
video73,0.25,Audience Reaction,Negative
video3,0.75,Audience Anticipation,Positive
video117,0.5,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video25,0.5,Game Plot,Neutral
video41,0.8,Social Interaction,Highly Positive
video2,0.95,Progress and Updates,Highly Positive
video82,0.5,Social Interaction,Neutral
video81,0.65,Audience Reaction,Positive
video2,0.925,Game Experience,Highly Positive
video82,0.45,Social Interaction,Neutral
video82,0.852,Game Design,Highly Positive
video50,0.85,Game Design,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video117,0.25,Game Plot,Negative
video82,0.85,Audience Reaction,Highly Positive
video82,0.25,Audience Reaction,Negative
video62,0.85,Audience Reaction,Highly Positive
video53,0.65,Audience Anticipation,Positive
video59,0.75,Audience Reaction,Positive
video51,0.85,Game Plot,Highly Positive
video3,0.75,Game Design,Positive
video4,0.85,Audience Reaction,Highly Positive
video23,0.25,Audience Reaction,Negative
video59,0.925,Game Experience,Highly Positive
video8,0.925,Audience Reaction,Highly Positive
video82,0.5,Audience Feedback,Neutral
video50,0.95,Audience Reaction,Highly Positive
video82,0.65,Game Plot,Positive
video51,0.45,Social Interaction,Neutral
video48,0.45,Game Experience,Neutral
video80,0.75,Audience Reaction,Positive
video42,0.5,Social Interaction,Neutral
video92,0.25,Social Interaction,Negative
video3,0.15,Audience Reaction,Highly Negative
video59,0.85,Game Design,Highly Positive
video5,0.95,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.456,Audience Reaction,Neutral
video3,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.75,Game Design,Positive
video3,0.75,Social Interaction,Positive
video48,0.5,Audience Reaction,Neutral
video1,0.453,Audience Feedback,Neutral
video85,0.35,Game Design,Negative
video3,0.75,Information Share,Positive
video8,0.95,Audience Anticipation,Highly Positive
video82,0.5,Game Design,Neutral
video42,0.95,Social Interaction,Highly Positive
video72,0.85,Game Design,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Social Interaction,Neutral
video96,0.5,Game Design,Neutral
video16,0.852,Audience Reaction,Highly Positive
video80,0.25,Audience Feedback,Negative
video82,0.5,Social Interaction,Neutral
video23,0.85,Audience Reaction,Highly Positive
video47,0.25,Audience Reaction,Negative
video104,0.25,Social Interaction,Negative
video59,0.75,Game Design,Positive
video4,0.925,Audience Reaction,Highly Positive
video21,0.65,Audience Feedback,Positive
video3,0.25,Audience Reaction,Negative
video3,0.5,Game Requirement,Neutral
video3,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video51,0.0,Audience Reaction,Highly Negative
video82,0.5,Audience Reaction,Neutral
video82,0.75,Social Interaction,Positive
video82,0.5,Game Plot,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.15,Social Interaction,Highly Negative
video80,0.5,Game Design,Neutral
video2,0.925,Social Interaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Reaction,Neutral
video21,0.5,Social Interaction,Neutral
video78,0.95,Audience Reaction,Highly Positive
video48,0.35,Game Experience,Negative
video3,0.5,Social Interaction,Neutral
video50,0.75,Social Interaction,Positive
video82,0.5,Audience Reaction,Neutral
video50,0.5,Game Design,Neutral
video117,0.85,Audience Reaction,Highly Positive
video47,0.75,Game Design,Positive
video67,0.55,Audience Reaction,Neutral
video2,0.85,Game Design,Highly Positive
video54,0.5,Game Experience,Neutral
video60,0.15,Social Interaction,Highly Negative
video50,0.25,Social Interaction,Negative
video67,0.75,Game Plot,Positive
video4,0.25,Social Interaction,Negative
video10,0.65,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video53,0.25,Audience Feedback,Negative
video3,0.75,Audience Reaction,Positive
video82,0.5,Game Plot,Neutral
video82,0.85,Audience Reaction,Highly Positive
video3,0.25,Social Interaction,Negative
video82,0.0,Social Interaction,Highly Negative
video106,0.65,Game Plot,Positive
video3,0.75,Audience Reaction,Positive
video50,0.75,Game Design,Positive
video8,0.456,Social Interaction,Neutral
video8,0.5,Game Requirement,Neutral
video75,0.925,Audience Reaction,Highly Positive
video82,0.65,Audience Reaction,Positive
video4,0.5,Audience Anticipation,Neutral
video62,0.925,Audience Anticipation,Highly Positive
video61,0.65,Game Plot,Positive
video75,0.75,Audience Anticipation,Positive
video23,0.65,Game Experience,Positive
video82,0.456,Audience Reaction,Neutral
video48,0.5,Social Interaction,Neutral
video82,0.25,Audience Anticipation,Negative
video38,0.5,Social Interaction,Neutral
video82,0.65,Game Design,Positive
video23,0.5,Social Interaction,Neutral
video82,0.15,Game Experience,Highly Negative
video24,0.15,Audience Reaction,Highly Negative
video3,0.95,Audience Anticipation,Highly Positive
video23,0.95,Audience Anticipation,Highly Positive
video8,0.925,Social Interaction,Highly Positive
video23,0.75,Audience Reaction,Positive
video76,0.55,Audience Reaction,Neutral
video3,0.65,Game Plot,Positive
video2,0.85,Audience Reaction,Highly Positive
video75,0.35,Audience Feedback,Negative
video82,0.925,Game Plot,Highly Positive
video82,0.25,Social Interaction,Negative
video84,0.5,Social Interaction,Neutral
video3,0.5,Information Share,Neutral
video56,0.85,Information Share,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.75,Game Plot,Positive
video25,0.65,Audience Reaction,Positive
video82,0.75,Game Plot,Positive
video3,0.0,Audience Feedback,Highly Negative
video16,0.85,Social Interaction,Highly Positive
video82,0.85,Game Plot,Highly Positive
video114,0.15,Audience Reaction,Highly Negative
video3,0.5,Game Plot,Neutral
video8,0.65,Audience Reaction,Positive
video2,0.5,Game Design,Neutral
video82,0.65,Social Interaction,Positive
video4,0.45,Game Plot,Neutral
video75,0.55,Audience Reaction,Neutral
video82,0.5,Game Plot,Neutral
video3,0.75,Audience Anticipation,Positive
video63,0.456,Social Interaction,Neutral
video4,0.75,Audience Reaction,Positive
video121,0.925,Information Share,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video117,0.95,Audience Reaction,Highly Positive
video47,0.5,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video103,0.95,Audience Reaction,Highly Positive
video82,0.85,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video67,0.85,Game Plot,Highly Positive
video84,0.5,Social Interaction,Neutral
video8,0.5,Game Requirement,Neutral
video2,0.25,Audience Reaction,Negative
video23,0.5,Game Plot,Neutral
video3,0.15,Audience Reaction,Highly Negative
video3,0.75,Social Interaction,Positive
