video,Sentiment Score,C-Label,IP,S-Label
video88,0.15,Audience Reaction,Jilin,Highly Negative
video80,0.925,Game Plot,Hubei,Highly Positive
video2,0.456,Social Interaction,Shandong,Neutral
video14,0.95,Social Interaction,Fujian,Highly Positive
video44,0.85,Game Plot,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Chongqing,Neutral
video6,0.75,Game Experience,Hunan,Positive
video59,0.85,Game Experience,Anhui,Highly Positive
video64,0.15,Audience Reaction,Unknown,Highly Negative
video80,0.852,Game Experience,Fujian,Highly Positive
video6,0.75,Social Interaction,Guangdong,Positive
video6,0.35,Social Interaction,Guangdong,Negative
video29,0.75,Social Interaction,Beijing,Positive
video81,0.85,Social Interaction,Heilongjiang,Highly Positive
video67,0.654,Game Plot,Tianjin,Positive
video13,0.652,Game Plot,Ningxia,Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video50,0.5,Social Interaction,Beijing,Neutral
video59,0.85,Audience Anticipation,Fujian,Highly Positive
video80,0.925,Game Experience,Guangdong,Highly Positive
video40,0.456,Audience Reaction,Inner Mongolia,Neutral
video46,0.75,Audience Reaction,Fujian,Positive
video60,0.25,Game Experience,Sichuan,Negative
video28,0.925,Audience Reaction,Jiangxi,Highly Positive
video26,0.25,Social Interaction,Henan,Negative
video76,0.75,Game Experience,Jiangxi,Positive
video73,0.95,Social Interaction,Jiangxi,Highly Positive
video62,0.85,Game Plot,Jiangsu,Highly Positive
video82,0.5,Game Plot,Zhejiang,Neutral
video60,0.15,Audience Feedback,Henan,Highly Negative
video13,0.95,Social Interaction,Henan,Highly Positive
video80,0.25,Game Experience,Guangxi,Negative
video6,0.5,Social Interaction,Jiangsu,Neutral
video81,0.25,Game Experience,Beijing,Negative
video14,0.5,Social Interaction,Hubei,Neutral
video82,0.5,Social Interaction,Shandong,Neutral
video14,0.75,Game Experience,Jiangsu,Positive
video80,0.925,Social Interaction,Hunan,Highly Positive
video80,0.453,Audience Feedback,Tianjin,Neutral
video14,0.85,Social Interaction,Guangdong,Highly Positive
video23,0.75,Audience Reaction,Sichuan,Positive
video26,0.5,Social Interaction,Yunnan,Neutral
video11,0.65,Game Experience,Fujian,Positive
video1,0.85,Game Design,Shanghai,Highly Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video80,0.25,Audience Reaction,Henan,Negative
video48,0.65,Game Plot,Hunan,Positive
video1,0.925,Game Plot,Hong Kong,Highly Positive
video56,0.5,Audience Reaction,Heilongjiang,Neutral
video27,0.652,Information Share,Sichuan,Positive
video17,0.5,Social Interaction,Jiangsu,Neutral
video2,0.925,Audience Reaction,Guangxi,Highly Positive
video36,0.85,Game Experience,Tianjin,Highly Positive
video80,0.65,Social Interaction,Jiangsu,Positive
video42,0.925,Audience Reaction,Heilongjiang,Highly Positive
video75,0.9,Social Interaction,Fujian,Highly Positive
video50,0.65,Audience Reaction,Chongqing,Positive
video80,0.85,Game Experience,Shanxi,Highly Positive
video60,0.45,Social Interaction,Beijing,Neutral
video14,0.5,Social Interaction,Hubei,Neutral
video80,0.75,Audience Feedback,Hebei,Positive
video88,0.5,Social Interaction,Fujian,Neutral
video6,0.925,Game Plot,Guangxi,Highly Positive
video44,0.5,Social Interaction,Hebei,Neutral
video6,0.5,Social Interaction,Zhejiang,Neutral
video6,0.25,Social Interaction,Guangxi,Negative
video6,0.5,Social Interaction,Fujian,Neutral
video42,0.75,Social Interaction,Jiangsu,Positive
video60,0.85,Audience Anticipation,Beijing,Highly Positive
video14,0.65,Game Plot,Jilin,Positive
video59,0.875,Game Plot,Zhejiang,Highly Positive
video14,0.357,Game Experience,Liaoning,Negative
video42,0.5,Social Interaction,Hebei,Neutral
video59,0.357,Game Plot,Guangdong,Negative
video15,0.5,Social Interaction,Shandong,Neutral
video59,0.5,Social Interaction,Jiangsu,Neutral
video59,0.25,Audience Reaction,Liaoning,Negative
video60,0.35,Game Experience,Jiangsu,Negative
video6,0.5,Social Interaction,Shandong,Neutral
video59,0.5,Social Interaction,Guangxi,Neutral
video41,0.5,Social Interaction,Hebei,Neutral
video1,0.456,Game Design,Jiangxi,Neutral
video6,0.5,Social Interaction,Jiangxi,Neutral
video75,0.95,Social Interaction,Heilongjiang,Highly Positive
video48,0.5,Game Design,Hebei,Neutral
video88,0.75,Game Experience,Sichuan,Positive
video59,0.25,Game Plot,Hainan,Negative
video42,0.5,Audience Reaction,Guangdong,Neutral
video6,0.15,Audience Reaction,Inner Mongolia,Highly Negative
video81,0.5,Social Interaction,Beijing,Neutral
video6,0.5,Social Interaction,Chongqing,Neutral
video34,0.55,Audience Reaction,Henan,Neutral
video59,0.253,Audience Feedback,Zhejiang,Negative
video84,0.75,Game Experience,Guizhou,Positive
video6,0.5,Social Interaction,Heilongjiang,Neutral
video17,0.85,Audience Reaction,Hunan,Highly Positive
video60,0.75,Game Plot,Hubei,Positive
video80,0.5,Social Interaction,Xinjiang,Neutral
video14,0.65,Game Experience,Tianjin,Positive
video67,0.65,Game Plot,Hubei,Positive
video47,0.75,Audience Reaction,Tianjin,Positive
video59,0.85,Game Plot,Sichuan,Highly Positive
video14,0.888,Audience Reaction,Henan,Highly Positive
video13,0.75,Game Plot,Hunan,Positive
video59,0.5,Game Plot,Xinjiang,Neutral
video56,0.65,Game Plot,Yunnan,Positive
video82,0.5,Social Interaction,Fujian,Neutral
video14,0.95,Audience Reaction,Anhui,Highly Positive
video6,0.6,Social Interaction,Jiangxi,Positive
video6,0.5,Social Interaction,Henan,Neutral
video89,0.85,Game Experience,Sichuan,Highly Positive
video80,0.925,Audience Reaction,Fujian,Highly Positive
video60,0.25,Audience Reaction,Xinjiang,Negative
video28,0.85,Audience Reaction,Yunnan,Highly Positive
video81,0.75,Game Experience,Xinjiang,Positive
video1,0.753,Game Plot,Guangdong,Positive
video56,0.652,Audience Reaction,Beijing,Positive
video80,0.456,Social Interaction,Gansu,Neutral
video1,0.412,Audience Reaction,Tianjin,Neutral
video46,0.925,Game Plot,Beijing,Highly Positive
video6,0.45,Audience Reaction,Heilongjiang,Neutral
video80,0.85,Social Interaction,Sichuan,Highly Positive
video28,0.35,Game Requirement,Shandong,Negative
video76,0.5,Game Experience,Hunan,Neutral
video80,0.925,Audience Reaction,Hunan,Highly Positive
video28,0.35,Game Design,Hebei,Negative
video35,0.95,Social Interaction,Jiangxi,Highly Positive
video56,0.5,Social Interaction,Sichuan,Neutral
video89,0.95,Game Design,Xinjiang,Highly Positive
video6,0.85,Audience Reaction,Inner Mongolia,Highly Positive
video28,0.65,Progress and Updates,Zhejiang,Positive
video68,0.85,Audience Reaction,Anhui,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video24,0.95,Social Interaction,Hebei,Highly Positive
video5,0.85,Audience Anticipation,Shandong,Highly Positive
video80,0.75,Social Interaction,Henan,Positive
video27,0.75,Information Share,Tianjin,Positive
video26,0.652,Progress and Updates,Unknown,Positive
video73,0.456,Audience Reaction,Unknown,Neutral
video47,0.5,Social Interaction,Guangxi,Neutral
video14,0.95,Social Interaction,Anhui,Highly Positive
video1,0.5,Social Interaction,Guangxi,Neutral
video15,0.75,Audience Feedback,Jiangsu,Positive
video38,0.85,Social Interaction,Guangdong,Highly Positive
video60,0.852,Audience Reaction,Fujian,Highly Positive
video88,0.5,Social Interaction,Ningxia,Neutral
video87,0.75,Audience Reaction,Jiangsu,Positive
video14,0.5,Social Interaction,Guizhou,Neutral
video6,0.5,Social Interaction,Henan,Neutral
video80,0.45,Social Interaction,Anhui,Neutral
video6,0.5,Social Interaction,Sichuan,Neutral
video56,0.35,Audience Reaction,Xinjiang,Negative
video6,0.95,Audience Reaction,Sichuan,Highly Positive
video69,0.5,Social Interaction,Jiangsu,Neutral
video73,0.852,Game Plot,Anhui,Highly Positive
video1,0.925,Game Plot,Sichuan,Highly Positive
video6,0.456,Audience Reaction,Jiangsu,Neutral
video58,0.652,Social Interaction,Sichuan,Positive
video17,0.5,Social Interaction,Hunan,Neutral
video88,0.95,Social Interaction,Shandong,Highly Positive
video80,0.65,Social Interaction,Guangdong,Positive
video14,0.95,Audience Reaction,Shandong,Highly Positive
video67,0.5,Social Interaction,Shandong,Neutral
video11,0.85,Game Plot,Guangdong,Highly Positive
video26,0.0,Social Interaction,Guangdong,Highly Negative
video59,0.852,Progress and Updates,Henan,Highly Positive
video69,0.95,Social Interaction,Zhejiang,Highly Positive
video80,0.95,Social Interaction,Shaanxi,Highly Positive
video56,0.925,Audience Reaction,Guangdong,Highly Positive
video50,0.5,Game Plot,Shanghai,Neutral
video59,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.25,Game Plot,Shanghai,Negative
video6,0.45,Game Experience,Zhejiang,Neutral
video80,0.5,Game Plot,Hunan,Neutral
video59,0.2,Audience Reaction,Zhejiang,Negative
video60,0.25,Game Plot,Guangdong,Negative
video80,0.5,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Sichuan,Neutral
video42,0.35,Audience Reaction,Guangdong,Negative
video6,0.85,Audience Feedback,Xinjiang,Highly Positive
video80,0.925,Social Interaction,Guangxi,Highly Positive
video61,0.75,Game Design,Hubei,Positive
video34,0.5,Game Requirement,Zhejiang,Neutral
video6,0.45,Audience Reaction,Sichuan,Neutral
video1,0.412,Social Interaction,Shanghai,Neutral
video59,0.25,Audience Feedback,Sichuan,Negative
video42,0.25,Audience Reaction,Zhejiang,Negative
video54,0.5,Social Interaction,Guangdong,Neutral
video48,0.654,Game Plot,Jiangsu,Positive
video47,0.75,Game Plot,Henan,Positive
video27,0.75,Audience Feedback,Shandong,Positive
video26,0.5,Social Interaction,Guangdong,Neutral
video46,0.654,Audience Feedback,Hebei,Positive
video80,0.75,Game Experience,Hunan,Positive
video67,0.5,Social Interaction,Henan,Neutral
video81,0.5,Game Design,Guangxi,Neutral
video75,0.85,Audience Reaction,Hebei,Highly Positive
video6,0.65,Social Interaction,Sichuan,Positive
video80,0.75,Audience Reaction,Hubei,Positive
video50,0.5,Audience Reaction,Hunan,Neutral
video59,0.45,Social Interaction,Sichuan,Neutral
video67,0.75,Social Interaction,Jiangsu,Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video56,0.65,Social Interaction,Beijing,Positive
video56,0.65,Game Experience,Shanghai,Positive
video60,0.5,Game Experience,Yunnan,Neutral
video81,0.45,Social Interaction,Ningxia,Neutral
video81,0.95,Social Interaction,Shanghai,Highly Positive
video17,0.985,Audience Reaction,Shanxi,Highly Positive
video56,0.85,Game Plot,Guangdong,Highly Positive
video60,0.85,Game Plot,Zhejiang,Highly Positive
video56,0.925,Progress and Updates,Shandong,Highly Positive
video14,0.75,Game Experience,Jiangsu,Positive
video17,0.753,Audience Reaction,Zhejiang,Positive
video59,1.0,Audience Reaction,Hubei,Highly Positive
video67,0.95,Social Interaction,Yunnan,Highly Positive
video70,0.5,Social Interaction,Yunnan,Neutral
video26,0.5,Social Interaction,Fujian,Neutral
video80,0.905,Social Interaction,Sichuan,Highly Positive
video26,0.25,Social Interaction,Yunnan,Negative
video80,0.5,Social Interaction,Guangdong,Neutral
video82,0.95,Audience Feedback,Sichuan,Highly Positive
video14,0.925,Audience Reaction,Hubei,Highly Positive
video50,0.5,Game Plot,Fujian,Neutral
video80,0.5,Social Interaction,Fujian,Neutral
video56,0.85,Game Plot,Henan,Highly Positive
video65,0.35,Social Interaction,Hebei,Negative
video6,0.5,Social Interaction,Beijing,Neutral
video42,0.925,Game Experience,Jiangxi,Highly Positive
video80,0.5,Social Interaction,Hunan,Neutral
video42,0.65,Game Design,Hunan,Positive
video40,0.85,Game Plot,Tianjin,Highly Positive
video6,0.5,Social Interaction,Inner Mongolia,Neutral
video50,0.923,Game Plot,Shaanxi,Highly Positive
video7,0.95,Progress and Updates,Sichuan,Highly Positive
video7,0.45,Game Experience,Guangxi,Neutral
video6,0.5,Social Interaction,Zhejiang,Neutral
video67,0.85,Audience Anticipation,Sichuan,Highly Positive
video80,0.852,Game Experience,Sichuan,Highly Positive
video59,0.25,Audience Reaction,Chongqing,Negative
video80,0.5,Social Interaction,Hunan,Neutral
video42,0.85,Audience Feedback,Hebei,Highly Positive
video6,0.25,Game Plot,Jiangsu,Negative
video47,0.95,Audience Reaction,Anhui,Highly Positive
video81,0.925,Audience Reaction,Henan,Highly Positive
video62,0.75,Game Plot,Jiangsu,Positive
video88,0.5,Game Design,Guangdong,Neutral
video82,0.5,Social Interaction,Zhejiang,Neutral
video52,0.5,Social Interaction,Inner Mongolia,Neutral
video50,0.85,Audience Reaction,Shanghai,Highly Positive
video56,0.85,Audience Reaction,Xinjiang,Highly Positive
video6,0.65,Social Interaction,Hunan,Positive
video26,0.153,Audience Feedback,Guangdong,Highly Negative
video54,0.85,Social Interaction,Chongqing,Highly Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video1,0.85,Game Design,Guangdong,Highly Positive
video17,0.95,Audience Reaction,Hunan,Highly Positive
video56,0.925,Audience Reaction,Jiangsu,Highly Positive
video59,0.95,Social Interaction,Beijing,Highly Positive
video28,0.456,Progress and Updates,Guangdong,Neutral
video80,0.85,Game Experience,Guangdong,Highly Positive
video13,0.85,Social Interaction,Beijing,Highly Positive
video14,0.55,Social Interaction,Unknown,Neutral
video67,0.654,Game Plot,Guangxi,Positive
video82,0.35,Game Experience,Anhui,Negative
video6,0.45,Audience Reaction,Hebei,Neutral
video67,0.925,Game Plot,Tianjin,Highly Positive
video49,0.75,Audience Feedback,Jilin,Positive
video82,0.5,Social Interaction,Hebei,Neutral
video10,0.85,Social Interaction,Shanghai,Highly Positive
video50,0.5,Social Interaction,Zhejiang,Neutral
video17,0.75,Social Interaction,Gansu,Positive
video6,0.95,Audience Reaction,Tianjin,Highly Positive
video15,0.5,Social Interaction,Gansu,Neutral
video34,0.5,Social Interaction,Sichuan,Neutral
video17,0.95,Social Interaction,Shandong,Highly Positive
video14,0.999,Social Interaction,Liaoning,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video80,0.925,Audience Reaction,Beijing,Highly Positive
video50,0.456,Audience Reaction,Hubei,Neutral
video14,0.985,Audience Reaction,Shandong,Highly Positive
video88,0.95,Social Interaction,Shaanxi,Highly Positive
video6,0.5,Social Interaction,Henan,Neutral
video17,0.85,Social Interaction,Chongqing,Highly Positive
video26,0.65,Social Interaction,Anhui,Positive
video6,0.5,Social Interaction,Shandong,Neutral
video2,0.85,Game Design,Fujian,Highly Positive
video60,0.15,Audience Feedback,Sichuan,Highly Negative
video86,0.85,Social Interaction,Shaanxi,Highly Positive
video28,0.25,Game Experience,Jiangsu,Negative
video14,0.95,Audience Reaction,Beijing,Highly Positive
video6,0.75,Game Experience,Sichuan,Positive
video81,0.25,Game Experience,Sichuan,Negative
video88,0.357,Game Experience,Beijing,Negative
video22,0.5,Social Interaction,Hubei,Neutral
video6,0.5,Game Experience,Zhejiang,Neutral
video50,0.85,Game Design,Liaoning,Highly Positive
video10,0.925,Game Experience,Sichuan,Highly Positive
video59,0.5,Social Interaction,Shandong,Neutral
video84,0.75,Game Experience,Beijing,Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video6,0.65,Social Interaction,Zhejiang,Positive
video26,0.5,Social Interaction,Sichuan,Neutral
video50,0.5,Social Interaction,Liaoning,Neutral
video56,0.45,Audience Reaction,Shanghai,Neutral
video59,0.5,Social Interaction,Jiangxi,Neutral
video81,0.357,Game Experience,Hubei,Negative
video80,0.95,Audience Reaction,Unknown,Highly Positive
video59,0.789,Audience Reaction,Yunnan,Positive
video17,0.456,Game Design,Hainan,Neutral
video46,0.65,Social Interaction,Henan,Positive
video26,0.153,Social Interaction,Shandong,Highly Negative
video81,0.5,Social Interaction,Hebei,Neutral
video59,0.5,Game Plot,Shandong,Neutral
video14,0.85,Game Design,Henan,Highly Positive
video28,0.925,Progress and Updates,Hubei,Highly Positive
video5,0.95,Social Interaction,Shaanxi,Highly Positive
video81,0.85,Game Experience,Hubei,Highly Positive
video46,0.5,Social Interaction,Sichuan,Neutral
video79,0.752,Game Experience,Liaoning,Positive
video80,0.75,Audience Reaction,Hunan,Positive
video59,0.65,Audience Reaction,Sichuan,Positive
video60,0.5,Audience Reaction,Sichuan,Neutral
video59,0.45,Audience Feedback,Sichuan,Neutral
video6,0.75,Game Experience,Jiangsu,Positive
video6,0.925,Social Interaction,Sichuan,Highly Positive
video6,0.85,Social Interaction,Chongqing,Highly Positive
video35,0.852,Audience Reaction,Hubei,Highly Positive
video80,0.5,Social Interaction,Jilin,Neutral
video17,0.5,Game Experience,Hebei,Neutral
video50,0.75,Audience Reaction,Sichuan,Positive
video50,0.5,Game Experience,Shandong,Neutral
video74,0.25,Audience Reaction,Shanghai,Negative
video59,0.75,Social Interaction,Jiangsu,Positive
video6,0.35,Social Interaction,Guangxi,Negative
video75,0.75,Game Plot,Guangdong,Positive
video59,0.5,Social Interaction,Henan,Neutral
video6,0.5,Audience Reaction,Beijing,Neutral
video14,0.95,Audience Reaction,Sichuan,Highly Positive
video40,0.85,Game Plot,Guangdong,Highly Positive
video15,0.925,Game Plot,Hainan,Highly Positive
video54,0.5,Audience Reaction,Taiwan,Neutral
video56,0.65,Audience Reaction,Heilongjiang,Positive
video14,0.85,Social Interaction,Guangxi,Highly Positive
video59,0.253,Game Plot,Shandong,Negative
video46,0.75,Game Plot,Henan,Positive
video80,0.888,Social Interaction,Shandong,Highly Positive
video82,0.852,Game Experience,Hubei,Highly Positive
video80,0.95,Social Interaction,Henan,Highly Positive
video3,0.45,Game Experience,Zhejiang,Neutral
video80,0.5,Social Interaction,Inner Mongolia,Neutral
video80,0.456,Game Experience,Yunnan,Neutral
video56,0.925,Audience Reaction,Hunan,Highly Positive
video9,0.5,Social Interaction,Beijing,Neutral
video67,0.925,Audience Reaction,Shandong,Highly Positive
video1,0.25,Social Interaction,Gansu,Negative
video67,0.65,Game Experience,Unknown,Positive
video56,0.75,Social Interaction,Unknown,Positive
video80,0.5,Social Interaction,Shanxi,Neutral
video6,0.25,Audience Feedback,Tianjin,Negative
video35,0.85,Game Design,Heilongjiang,Highly Positive
video28,0.25,Game Requirement,Henan,Negative
video6,0.75,Game Plot,Xinjiang,Positive
video48,0.5,Social Interaction,Anhui,Neutral
video1,0.985,Audience Reaction,Shandong,Highly Positive
video14,0.925,Audience Reaction,Shanghai,Highly Positive
video46,0.925,Social Interaction,Guangdong,Highly Positive
video79,0.25,Game Experience,Zhejiang,Negative
video67,0.25,Audience Feedback,Zhejiang,Negative
video67,0.925,Audience Anticipation,Sichuan,Highly Positive
video59,0.15,Audience Feedback,Zhejiang,Highly Negative
video49,0.45,Audience Reaction,Jiangsu,Neutral
video1,0.65,Game Plot,Hubei,Positive
video47,1.0,Audience Reaction,Anhui,Highly Positive
video6,0.85,Audience Reaction,Shandong,Highly Positive
video56,0.85,Social Interaction,Fujian,Highly Positive
video55,0.95,Audience Reaction,Zhejiang,Highly Positive
video59,0.85,Game Plot,Henan,Highly Positive
video82,0.5,Social Interaction,Shanghai,Neutral
video75,0.5,Game Plot,Guangdong,Neutral
video40,0.925,Audience Reaction,Shanghai,Highly Positive
video79,0.925,Game Plot,Shandong,Highly Positive
video83,0.5,Social Interaction,Yunnan,Neutral
video6,0.5,Social Interaction,Chongqing,Neutral
video6,0.85,Audience Reaction,Shandong,Highly Positive
video80,0.95,Social Interaction,Anhui,Highly Positive
video49,0.95,Audience Reaction,Shandong,Highly Positive
video88,0.65,Game Design,Guangdong,Positive
video81,0.85,Social Interaction,Shaanxi,Highly Positive
video60,0.95,Social Interaction,Jiangsu,Highly Positive
video14,0.5,Audience Reaction,Shaanxi,Neutral
video17,0.5,Social Interaction,Sichuan,Neutral
video6,0.5,Social Interaction,Hunan,Neutral
video80,0.5,Social Interaction,Shaanxi,Neutral
video56,0.25,Audience Reaction,Hubei,Negative
video6,0.5,Social Interaction,Hebei,Neutral
video50,0.85,Game Plot,Henan,Highly Positive
video1,0.5,Game Plot,Zhejiang,Neutral
video3,0.5,Social Interaction,Jiangsu,Neutral
video1,0.5,Social Interaction,Shanghai,Neutral
video56,0.45,Audience Reaction,Chongqing,Neutral
video54,0.5,Social Interaction,Guangdong,Neutral
video15,0.5,Social Interaction,Sichuan,Neutral
video6,0.45,Social Interaction,Fujian,Neutral
video14,0.65,Audience Reaction,Yunnan,Positive
video66,0.75,Game Plot,Shandong,Positive
video75,0.5,Progress and Updates,Jiangxi,Neutral
video17,0.95,Audience Reaction,Guangdong,Highly Positive
video59,0.5,Game Requirement,Sichuan,Neutral
video75,0.85,Progress and Updates,Sichuan,Highly Positive
video80,0.15,Game Experience,Jiangxi,Highly Negative
video89,0.456,Game Experience,Shandong,Neutral
video81,0.65,Social Interaction,Fujian,Positive
video46,0.5,Social Interaction,Gansu,Neutral
video2,0.75,Game Experience,Jiangxi,Positive
video67,0.852,Game Plot,Tianjin,Highly Positive
video6,0.5,Social Interaction,Shaanxi,Neutral
video73,0.925,Game Plot,Shandong,Highly Positive
video47,0.5,Social Interaction,Guangxi,Neutral
video26,0.85,Information Share,Henan,Highly Positive
video59,0.925,Audience Reaction,Shandong,Highly Positive
video6,0.5,Game Experience,Guangdong,Neutral
video56,0.85,Audience Anticipation,Beijing,Highly Positive
video42,0.852,Social Interaction,Inner Mongolia,Highly Positive
video56,0.925,Audience Reaction,Zhejiang,Highly Positive
video60,0.5,Game Experience,Shandong,Neutral
video81,0.5,Game Experience,Hainan,Neutral
video80,0.5,Information Share,Anhui,Neutral
video83,0.25,Game Experience,Zhejiang,Negative
video6,0.5,Social Interaction,Zhejiang,Neutral
video59,0.925,Game Plot,Anhui,Highly Positive
video80,0.5,Social Interaction,Guangxi,Neutral
video17,0.95,Social Interaction,Anhui,Highly Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video26,0.25,Audience Feedback,Hubei,Negative
video70,0.5,Social Interaction,Sichuan,Neutral
video59,0.925,Game Design,Chongqing,Highly Positive
video14,0.5,Audience Reaction,Tianjin,Neutral
video36,0.25,Game Experience,Jiangsu,Negative
video50,0.5,Social Interaction,Anhui,Neutral
video6,0.95,Audience Reaction,Chongqing,Highly Positive
video22,0.85,Social Interaction,Hebei,Highly Positive
video83,0.451,Game Experience,Jiangxi,Neutral
video59,0.95,Audience Reaction,Jilin,Highly Positive
video26,0.25,Social Interaction,Shanghai,Negative
video82,0.85,Social Interaction,Sichuan,Highly Positive
video6,0.5,Social Interaction,Guangxi,Neutral
video45,0.925,Audience Reaction,Chongqing,Highly Positive
video10,0.95,Social Interaction,Guangdong,Highly Positive
video80,0.85,Social Interaction,Shandong,Highly Positive
video6,0.35,Audience Reaction,Guangdong,Negative
video6,0.65,Social Interaction,Shandong,Positive
video88,0.95,Social Interaction,Jiangsu,Highly Positive
video56,0.5,Game Experience,Hubei,Neutral
video77,0.925,Audience Anticipation,Qinghai,Highly Positive
video15,0.5,Social Interaction,Hunan,Neutral
video17,0.95,Audience Reaction,Hainan,Highly Positive
video50,0.45,Audience Reaction,Taiwan,Neutral
video1,0.5,Audience Anticipation,Jiangxi,Neutral
video1,0.925,Audience Reaction,Guangdong,Highly Positive
video67,0.925,Game Plot,Sichuan,Highly Positive
video76,0.75,Game Experience,Hubei,Positive
video81,0.999,Social Interaction,Zhejiang,Highly Positive
video80,0.852,Audience Reaction,Hunan,Highly Positive
video41,0.5,Social Interaction,Hebei,Neutral
video81,0.95,Audience Reaction,Fujian,Highly Positive
video22,0.253,Game Experience,Liaoning,Negative
video60,0.85,Audience Reaction,Tibet,Highly Positive
video60,0.75,Social Interaction,Chongqing,Positive
video15,0.45,Social Interaction,Jiangxi,Neutral
video67,0.925,Audience Anticipation,Henan,Highly Positive
video42,0.25,Social Interaction,Zhejiang,Negative
video67,0.5,Social Interaction,Shaanxi,Neutral
video8,0.5,Social Interaction,Inner Mongolia,Neutral
video80,0.45,Social Interaction,Henan,Neutral
video3,0.75,Social Interaction,Sichuan,Positive
video40,0.925,Game Design,Shanxi,Highly Positive
video59,0.9,Social Interaction,Guangdong,Highly Positive
video56,0.5,Audience Reaction,Sichuan,Neutral
video1,0.5,Game Plot,Shanxi,Neutral
video6,0.85,Audience Reaction,Shandong,Highly Positive
video58,0.85,Game Design,Jilin,Highly Positive
video6,0.25,Game Experience,Inner Mongolia,Negative
video56,0.85,Audience Anticipation,Jiangxi,Highly Positive
video56,0.75,Audience Reaction,Shandong,Positive
