video,Sentiment Score,Classification,Label
video82,0.5,Audience Reaction,Neutral
video82,0.75,Audience Reaction,Positive
video60,0.75,Game Experience,Positive
video80,0.925,Audience Reaction,Highly Positive
video82,0.65,Social Interaction,Positive
video82,0.95,Game Design,Highly Positive
video82,0.75,Audience Anticipation,Positive
video75,0.5,Audience Reaction,Neutral
video60,0.25,Audience Reaction,Negative
video4,0.75,Game Experience,Positive
video9,0.5,Progress and Updates,Neutral
video92,0.5,Social Interaction,Neutral
video44,0.95,Audience Reaction,Highly Positive
video3,0.85,Social Interaction,Highly Positive
video79,0.85,Information Share,Highly Positive
video82,0.35,Game Plot,Negative
video82,0.25,Social Interaction,Negative
video10,0.75,Social Interaction,Positive
video2,0.75,Game Design,Positive
video47,0.75,Audience Reaction,Positive
video82,0.5,Game Plot,Neutral
video117,0.5,Social Interaction,Neutral
video85,0.456,Game Plot,Neutral
video82,0.5,Audience Reaction,Neutral
video51,0.65,Audience Feedback,Positive
video23,0.5,Game Experience,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.925,Social Interaction,Highly Positive
video82,0.45,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video9,0.75,Audience Anticipation,Positive
video55,0.95,Game Design,Highly Positive
video60,0.35,Game Experience,Negative
video82,0.85,Audience Reaction,Highly Positive
video82,0.75,Game Plot,Positive
video41,0.25,Social Interaction,Negative
video3,0.15,Audience Reaction,Highly Negative
video21,0.35,Audience Reaction,Negative
video73,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video14,0.5,Social Interaction,Neutral
video84,0.55,Audience Reaction,Neutral
video55,0.925,Information Share,Highly Positive
video82,0.925,Game Design,Highly Positive
video25,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Reaction,Neutral
video3,0.85,Social Interaction,Highly Positive
video1,0.95,Game Plot,Highly Positive
video106,0.85,Audience Anticipation,Highly Positive
video16,0.85,Social Interaction,Highly Positive
video23,0.357,Game Experience,Negative
video82,0.5,Social Interaction,Neutral
video29,0.45,Audience Anticipation,Neutral
video15,0.925,Audience Reaction,Highly Positive
video3,0.925,Audience Reaction,Highly Positive
video4,0.5,Social Interaction,Neutral
video104,0.75,Game Plot,Positive
video3,0.0,Audience Feedback,Highly Negative
video82,0.5,Game Design,Neutral
video51,0.75,Social Interaction,Positive
video82,0.456,Social Interaction,Neutral
video102,0.25,Game Requirement,Negative
video82,0.25,Social Interaction,Negative
video82,0.5,Social Interaction,Neutral
video47,0.75,Game Experience,Positive
video4,0.25,Audience Reaction,Negative
video82,0.75,Audience Reaction,Positive
video82,0.753,Game Design,Positive
video67,0.75,Game Plot,Positive
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.5,Game Design,Neutral
video3,0.5,Social Interaction,Neutral
video121,0.925,Audience Reaction,Highly Positive
video2,0.85,Information Share,Highly Positive
video39,0.85,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video3,0.5,Information Share,Neutral
video72,0.925,Audience Anticipation,Highly Positive
video92,0.532,Audience Reaction,Neutral
video3,0.5,Game Plot,Neutral
video33,0.85,Audience Reaction,Highly Positive
video47,0.925,Game Experience,Highly Positive
video47,0.75,Audience Reaction,Positive
video54,0.5,Audience Reaction,Neutral
video75,0.752,Game Plot,Positive
video2,0.925,Audience Reaction,Highly Positive
video106,0.35,Game Design,Negative
video21,0.85,Game Plot,Highly Positive
video59,0.35,Game Experience,Negative
video4,0.5,Social Interaction,Neutral
video3,0.456,Social Interaction,Neutral
video4,0.25,Audience Reaction,Negative
video4,0.55,Audience Reaction,Neutral
video82,0.5,Game Design,Neutral
video82,0.75,Social Interaction,Positive
video2,0.5,Social Interaction,Neutral
video10,0.5,Social Interaction,Neutral
video82,0.35,Game Design,Negative
video8,0.85,Audience Anticipation,Highly Positive
video8,0.925,Game Design,Highly Positive
video62,0.5,Information Share,Neutral
video50,0.35,Audience Reaction,Negative
video39,0.95,Audience Reaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Anticipation,Neutral
video81,0.5,Audience Feedback,Neutral
video16,0.456,Social Interaction,Neutral
video70,0.25,Audience Reaction,Negative
video104,0.5,Audience Reaction,Neutral
video82,0.85,Audience Reaction,Highly Positive
video5,0.65,Audience Feedback,Positive
video6,0.15,Social Interaction,Highly Negative
video3,0.85,Audience Anticipation,Highly Positive
video29,0.5,Social Interaction,Neutral
video43,0.75,Game Requirement,Positive
video78,0.75,Social Interaction,Positive
video23,0.45,Audience Reaction,Neutral
video23,0.0,Social Interaction,Highly Negative
video4,0.15,Audience Feedback,Highly Negative
video18,0.5,Information Share,Neutral
video82,0.5,Game Design,Neutral
video12,0.99,Audience Reaction,Highly Positive
video76,0.456,Game Experience,Neutral
video3,0.5,Game Experience,Neutral
video82,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Anticipation,Neutral
video36,0.925,Audience Anticipation,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video50,0.75,Game Design,Positive
video117,0.95,Audience Reaction,Highly Positive
video29,0.5,Game Design,Neutral
video10,0.85,Social Interaction,Highly Positive
video116,0.925,Audience Reaction,Highly Positive
video106,0.25,Audience Feedback,Negative
video82,0.5,Game Experience,Neutral
video97,0.0,Social Interaction,Highly Negative
video111,0.5,Social Interaction,Neutral
video4,0.95,Audience Anticipation,Highly Positive
video111,0.45,Game Requirement,Neutral
video23,0.95,Audience Anticipation,Highly Positive
video9,0.95,Game Design,Highly Positive
video82,0.357,Game Plot,Negative
video3,0.888,Information Share,Highly Positive
video8,0.65,Audience Reaction,Positive
video82,0.25,Social Interaction,Negative
video36,0.95,Audience Reaction,Highly Positive
video82,0.5,Game Plot,Neutral
video121,0.95,Audience Feedback,Highly Positive
video24,0.5,Game Requirement,Neutral
video27,0.35,Audience Feedback,Negative
video100,0.5,Social Interaction,Neutral
video59,0.25,Game Experience,Negative
video3,0.85,Game Plot,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.456,Game Experience,Neutral
video53,0.357,Game Experience,Negative
video36,0.925,Audience Reaction,Highly Positive
video16,0.85,Social Interaction,Highly Positive
video59,0.925,Game Plot,Highly Positive
video28,0.5,Game Plot,Neutral
video7,0.925,Audience Reaction,Highly Positive
video31,0.925,Social Interaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video30,0.15,Audience Feedback,Highly Negative
video23,0.5,Information Share,Neutral
video46,0.85,Audience Anticipation,Highly Positive
video41,0.5,Social Interaction,Neutral
video82,0.65,Social Interaction,Positive
video25,0.75,Audience Reaction,Positive
video92,0.25,Audience Reaction,Negative
video25,0.5,Social Interaction,Neutral
video3,0.85,Audience Reaction,Highly Positive
video3,0.925,Game Design,Highly Positive
video50,0.95,Audience Reaction,Highly Positive
video82,0.75,Game Design,Positive
video2,0.5,Social Interaction,Neutral
video21,0.35,Game Experience,Negative
video55,0.45,Audience Reaction,Neutral
video41,0.85,Audience Reaction,Highly Positive
video82,0.75,Audience Anticipation,Positive
video82,0.5,Game Plot,Neutral
video82,0.75,Social Interaction,Positive
video42,0.925,Game Design,Highly Positive
video51,0.15,Game Requirement,Highly Negative
video82,0.5,Audience Reaction,Neutral
video7,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video25,0.5,Game Plot,Neutral
video48,0.85,Audience Reaction,Highly Positive
video16,0.95,Audience Anticipation,Highly Positive
video32,0.85,Audience Anticipation,Highly Positive
video114,0.45,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video61,0.65,Game Experience,Positive
video82,0.5,Game Plot,Neutral
video82,0.25,Game Experience,Negative
video97,0.5,Game Plot,Neutral
video84,0.75,Game Plot,Positive
video82,0.75,Audience Reaction,Positive
video20,0.915,Audience Reaction,Highly Positive
video82,0.5,Game Plot,Neutral
video5,0.925,Audience Reaction,Highly Positive
video16,0.75,Social Interaction,Positive
video48,0.15,Audience Feedback,Highly Negative
video36,0.055,Audience Anticipation,Highly Negative
video82,0.5,Social Interaction,Neutral
video82,0.85,Audience Reaction,Highly Positive
video54,0.75,Audience Reaction,Positive
video61,0.65,Game Experience,Positive
video8,0.5,Social Interaction,Neutral
video21,0.456,Social Interaction,Neutral
video118,0.95,Social Interaction,Highly Positive
video45,0.5,Social Interaction,Neutral
video9,0.5,Audience Anticipation,Neutral
video53,0.2,Audience Feedback,Negative
video82,0.85,Audience Reaction,Highly Positive
video45,0.95,Audience Reaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video82,0.5,Game Design,Neutral
video25,0.5,Social Interaction,Neutral
video51,0.15,Audience Reaction,Highly Negative
video111,0.5,Game Requirement,Neutral
video8,0.25,Audience Reaction,Negative
video3,0.5,Social Interaction,Neutral
video4,0.5,Game Plot,Neutral
video66,0.85,Audience Reaction,Highly Positive
video50,0.85,Game Design,Highly Positive
video67,0.925,Game Plot,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.65,Audience Reaction,Positive
video101,0.15,Game Experience,Highly Negative
video84,0.25,Game Plot,Negative
video3,0.654,Audience Reaction,Positive
video46,0.5,Information Share,Neutral
video42,0.95,Game Design,Highly Positive
video60,0.35,Game Experience,Negative
video82,0.925,Audience Anticipation,Highly Positive
video60,0.75,Game Experience,Positive
video54,0.654,Game Experience,Positive
video3,0.25,Game Design,Negative
video81,0.35,Game Experience,Negative
video38,0.15,Audience Reaction,Highly Negative
video4,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video4,0.925,Game Design,Highly Positive
video81,0.5,Progress and Updates,Neutral
video36,0.925,Audience Anticipation,Highly Positive
video48,0.75,Game Experience,Positive
video50,0.5,Audience Reaction,Neutral
video82,0.45,Social Interaction,Neutral
video53,0.25,Game Requirement,Negative
video82,0.35,Social Interaction,Negative
video117,0.25,Game Design,Negative
video37,0.5,Social Interaction,Neutral
video25,0.5,Information Share,Neutral
video96,0.925,Social Interaction,Highly Positive
video82,0.5,Game Plot,Neutral
video19,0.5,Information Share,Neutral
video82,0.451,Audience Reaction,Neutral
video38,0.0,Audience Reaction,Highly Negative
video109,0.5,Social Interaction,Neutral
video55,0.5,Audience Reaction,Neutral
video39,0.85,Social Interaction,Highly Positive
video82,0.5,Game Plot,Neutral
video2,0.75,Social Interaction,Positive
video100,0.85,Social Interaction,Highly Positive
video89,0.5,Social Interaction,Neutral
video8,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.15,Social Interaction,Highly Negative
video82,0.5,Game Experience,Neutral
video29,0.75,Game Design,Positive
video82,0.451,Audience Reaction,Neutral
video4,0.25,Audience Feedback,Negative
video76,0.65,Game Experience,Positive
video82,0.5,Game Design,Neutral
video106,0.985,Game Design,Highly Positive
video23,0.85,Social Interaction,Highly Positive
video23,0.35,Game Plot,Negative
video2,0.925,Audience Reaction,Highly Positive
video82,0.25,Social Interaction,Negative
video106,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video50,0.25,Audience Feedback,Negative
video82,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.75,Audience Reaction,Positive
video8,0.85,Audience Anticipation,Highly Positive
video35,0.5,Audience Anticipation,Neutral
video41,0.95,Audience Reaction,Highly Positive
video4,0.15,Social Interaction,Highly Negative
video81,0.15,Audience Reaction,Highly Negative
video50,0.95,Audience Anticipation,Highly Positive
video60,0.65,Game Experience,Positive
video62,0.85,Social Interaction,Highly Positive
video82,0.456,Social Interaction,Neutral
video53,0.5,Information Share,Neutral
video44,0.25,Audience Reaction,Negative
video4,0.5,Game Design,Neutral
video23,0.5,Audience Reaction,Neutral
video43,0.5,Game Requirement,Neutral
video84,0.5,Social Interaction,Neutral
video79,0.5,Information Share,Neutral
video9,0.75,Audience Anticipation,Positive
video82,0.5,Audience Anticipation,Neutral
video4,0.5,Information Share,Neutral
video50,0.925,Audience Feedback,Highly Positive
video3,0.65,Game Plot,Positive
video16,1.0,Audience Anticipation,Highly Positive
video117,0.45,Audience Reaction,Neutral
video41,0.95,Audience Reaction,Highly Positive
video44,0.0,Audience Reaction,Highly Negative
video60,0.453,Game Experience,Neutral
video82,0.75,Social Interaction,Positive
video82,0.25,Audience Feedback,Negative
video29,0.45,Audience Reaction,Neutral
video70,0.5,Audience Reaction,Neutral
video47,0.652,Game Experience,Positive
video41,0.85,Audience Feedback,Highly Positive
video24,0.0,Social Interaction,Highly Negative
video46,0.95,Audience Reaction,Highly Positive
video2,0.357,Audience Reaction,Negative
video82,0.65,Game Design,Positive
video82,0.65,Audience Feedback,Positive
video3,0.85,Game Design,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video32,0.925,Audience Anticipation,Highly Positive
video8,0.5,Information Share,Neutral
video2,0.75,Game Experience,Positive
video3,0.925,Game Plot,Highly Positive
video117,0.95,Audience Reaction,Highly Positive
video48,0.654,Audience Reaction,Positive
video82,0.25,Audience Anticipation,Negative
video60,0.35,Game Experience,Negative
video8,0.65,Social Interaction,Positive
video2,0.35,Game Requirement,Negative
video8,0.75,Game Design,Positive
video82,0.5,Audience Reaction,Neutral
video3,0.5,Game Experience,Neutral
video29,0.925,Audience Anticipation,Highly Positive
video49,0.652,Audience Reaction,Positive
video55,0.925,Social Interaction,Highly Positive
video5,0.95,Audience Reaction,Highly Positive
video15,0.55,Audience Anticipation,Neutral
video19,0.85,Audience Reaction,Highly Positive
video3,0.5,Social Interaction,Neutral
video59,0.85,Audience Reaction,Highly Positive
video21,0.5,Social Interaction,Neutral
video116,0.5,Information Share,Neutral
video117,0.985,Game Design,Highly Positive
video82,0.75,Audience Anticipation,Positive
video82,0.5,Game Design,Neutral
video85,0.75,Social Interaction,Positive
video85,0.75,Game Design,Positive
video54,0.75,Audience Reaction,Positive
video47,0.85,Audience Reaction,Highly Positive
video82,0.654,Social Interaction,Positive
video80,0.85,Game Design,Highly Positive
video60,0.25,Game Experience,Negative
video24,0.65,Audience Feedback,Positive
video3,0.5,Information Share,Neutral
video5,0.25,Audience Reaction,Negative
video51,0.45,Game Requirement,Neutral
video23,0.85,Audience Reaction,Highly Positive
video69,0.55,Audience Reaction,Neutral
video82,0.75,Social Interaction,Positive
video80,0.425,Audience Feedback,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video85,0.75,Audience Anticipation,Positive
video8,0.45,Game Experience,Neutral
video62,0.25,Audience Reaction,Negative
video81,0.25,Audience Feedback,Negative
video85,0.65,Audience Feedback,Positive
video51,0.2,Social Interaction,Negative
video82,0.35,Game Design,Negative
video82,0.5,Social Interaction,Neutral
video82,0.45,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video117,0.75,Game Experience,Positive
video82,0.75,Game Design,Positive
video81,0.85,Audience Reaction,Highly Positive
video47,0.5,Game Experience,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Audience Reaction,Neutral
video82,0.5,Game Plot,Neutral
video114,0.25,Social Interaction,Negative
video41,0.75,Audience Reaction,Positive
video3,0.0,Audience Reaction,Highly Negative
video36,0.35,Audience Feedback,Negative
video29,0.5,Audience Anticipation,Neutral
video1,0.456,Game Experience,Neutral
video4,0.5,Social Interaction,Neutral
video49,0.25,Audience Reaction,Negative
video50,0.85,Audience Reaction,Highly Positive
video19,0.75,Audience Reaction,Positive
video15,0.85,Audience Reaction,Highly Positive
video60,0.65,Game Experience,Positive
video82,0.5,Social Interaction,Neutral
video27,0.925,Progress and Updates,Highly Positive
video62,0.5,Audience Anticipation,Neutral
video106,0.45,Audience Reaction,Neutral
video3,0.95,Game Design,Highly Positive
video106,0.456,Audience Reaction,Neutral
video9,0.85,Social Interaction,Highly Positive
video107,0.95,Game Requirement,Highly Positive
video73,0.925,Game Experience,Highly Positive
video82,0.25,Audience Reaction,Negative
video8,0.95,Information Share,Highly Positive
video82,0.5,Social Interaction,Neutral
video3,0.5,Social Interaction,Neutral
video111,0.25,Audience Anticipation,Negative
video82,0.5,Social Interaction,Neutral
video72,0.95,Audience Reaction,Highly Positive
video2,0.85,Audience Reaction,Highly Positive
video16,0.5,Game Design,Neutral
video44,0.75,Game Design,Positive
video3,0.456,Audience Feedback,Neutral
video82,0.9,Social Interaction,Highly Positive
video2,0.5,Game Design,Neutral
video15,0.5,Progress and Updates,Neutral
video48,0.75,Audience Anticipation,Positive
video82,0.5,Audience Anticipation,Neutral
video51,0.95,Game Plot,Highly Positive
video82,0.5,Social Interaction,Neutral
video24,0.85,Audience Reaction,Highly Positive
video82,0.0,Audience Reaction,Highly Negative
video82,0.5,Game Design,Neutral
video92,0.75,Game Experience,Positive
video82,0.75,Audience Anticipation,Positive
video54,0.15,Audience Reaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video55,0.925,Game Design,Highly Positive
video16,0.5,Game Design,Neutral
video39,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video64,0.75,Game Design,Positive
video3,0.85,Game Design,Highly Positive
video89,0.5,Game Design,Neutral
video111,0.925,Game Design,Highly Positive
video51,0.925,Social Interaction,Highly Positive
video59,0.5,Audience Anticipation,Neutral
video14,0.0,Audience Reaction,Highly Negative
video3,0.25,Audience Reaction,Negative
video82,0.95,Audience Reaction,Highly Positive
video114,0.25,Social Interaction,Negative
video82,0.85,Game Plot,Highly Positive
video82,0.5,Social Interaction,Neutral
video64,0.5,Social Interaction,Neutral
video23,0.5,Audience Reaction,Neutral
video3,0.15,Audience Feedback,Highly Negative
video41,0.85,Social Interaction,Highly Positive
video2,0.925,Audience Anticipation,Highly Positive
video81,0.95,Social Interaction,Highly Positive
video82,0.85,Audience Reaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Audience Anticipation,Neutral
video104,0.85,Social Interaction,Highly Positive
video36,0.75,Audience Feedback,Positive
video82,0.5,Game Plot,Neutral
video92,0.5,Social Interaction,Neutral
video3,0.453,Audience Reaction,Neutral
video3,0.5,Social Interaction,Neutral
video82,0.15,Audience Reaction,Highly Negative
video82,0.75,Game Design,Positive
video82,0.5,Audience Anticipation,Neutral
video2,0.65,Game Experience,Positive
video29,0.95,Audience Anticipation,Highly Positive
video82,0.5,Audience Feedback,Neutral
video2,0.85,Game Design,Highly Positive
video82,0.25,Audience Feedback,Negative
video10,0.35,Social Interaction,Negative
video3,0.5,Information Share,Neutral
video8,0.25,Audience Reaction,Negative
video29,0.35,Game Design,Negative
video87,0.65,Game Plot,Positive
video48,0.25,Audience Reaction,Negative
video53,0.925,Audience Feedback,Highly Positive
video71,0.85,Audience Reaction,Highly Positive
video75,0.852,Game Plot,Highly Positive
video4,0.25,Audience Reaction,Negative
video30,0.5,Social Interaction,Neutral
video97,0.25,Social Interaction,Negative
video3,0.35,Game Design,Negative
video12,0.85,Game Design,Highly Positive
video46,0.95,Audience Reaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video92,0.456,Game Requirement,Neutral
video47,0.5,Game Design,Neutral
video29,0.75,Progress and Updates,Positive
video3,0.5,Game Requirement,Neutral
video106,0.85,Audience Reaction,Highly Positive
video23,0.5,Social Interaction,Neutral
video47,0.35,Audience Reaction,Negative
video31,0.35,Game Design,Negative
video82,0.5,Social Interaction,Neutral
video82,0.85,Audience Anticipation,Highly Positive
video82,0.925,Audience Reaction,Highly Positive
video16,0.925,Game Design,Highly Positive
video55,0.85,Social Interaction,Highly Positive
video90,0.75,Audience Reaction,Positive
video82,0.35,Social Interaction,Negative
video4,0.5,Game Plot,Neutral
video2,0.925,Audience Reaction,Highly Positive
video32,0.95,Audience Reaction,Highly Positive
video73,0.35,Social Interaction,Negative
video56,0.5,Audience Reaction,Neutral
video81,0.25,Audience Feedback,Negative
video2,0.5,Game Experience,Neutral
video3,0.5,Audience Reaction,Neutral
video82,0.25,Audience Reaction,Negative
video30,0.5,Social Interaction,Neutral
video60,0.25,Game Experience,Negative
video9,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video97,0.65,Audience Reaction,Positive
video82,0.35,Social Interaction,Negative
video23,0.5,Social Interaction,Neutral
video72,0.5,Information Share,Neutral
video85,0.35,Audience Reaction,Negative
video2,0.95,Audience Reaction,Highly Positive
video114,0.25,Audience Reaction,Negative
video3,0.25,Audience Anticipation,Negative
video82,0.75,Audience Reaction,Positive
video81,0.35,Game Experience,Negative
video23,0.5,Audience Reaction,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video16,0.95,Audience Anticipation,Highly Positive
video43,0.45,Game Requirement,Neutral
video82,0.25,Social Interaction,Negative
video82,0.5,Audience Anticipation,Neutral
video82,0.0,Social Interaction,Highly Negative
video106,0.5,Information Share,Neutral
video42,0.75,Audience Reaction,Positive
video81,0.15,Progress and Updates,Highly Negative
video82,0.5,Game Plot,Neutral
video38,0.75,Audience Reaction,Positive
video47,0.0,Audience Reaction,Highly Negative
video48,0.5,Information Share,Neutral
video8,0.75,Game Design,Positive
video3,0.75,Game Design,Positive
video96,0.925,Audience Anticipation,Highly Positive
video3,0.25,Game Requirement,Negative
video82,0.5,Audience Reaction,Neutral
video101,0.5,Social Interaction,Neutral
video51,0.25,Audience Reaction,Negative
video104,0.75,Audience Anticipation,Positive
video82,0.5,Social Interaction,Neutral
video50,0.95,Audience Reaction,Highly Positive
video118,0.75,Audience Reaction,Positive
video82,0.5,Audience Anticipation,Neutral
video3,0.75,Game Design,Positive
video47,0.45,Information Share,Neutral
video82,0.5,Audience Feedback,Neutral
video82,0.5,Audience Anticipation,Neutral
video60,0.25,Game Experience,Negative
video23,0.75,Game Plot,Positive
video82,0.25,Game Plot,Negative
video92,0.5,Audience Reaction,Neutral
video33,0.5,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video50,0.85,Audience Anticipation,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video4,0.85,Game Design,Highly Positive
video104,0.85,Game Plot,Highly Positive
video82,0.5,Game Plot,Neutral
video82,0.75,Game Plot,Positive
video117,0.45,Audience Feedback,Neutral
video3,0.5,Audience Anticipation,Neutral
video64,0.75,Game Design,Positive
video9,0.45,Audience Reaction,Neutral
video82,0.25,Social Interaction,Negative
video106,0.25,Audience Reaction,Negative
video82,0.25,Social Interaction,Negative
video61,0.75,Audience Reaction,Positive
video33,0.5,Social Interaction,Neutral
video75,0.785,Social Interaction,Positive
video97,0.5,Social Interaction,Neutral
video33,0.925,Audience Reaction,Highly Positive
video111,0.0,Audience Anticipation,Highly Negative
video41,0.85,Social Interaction,Highly Positive
video3,0.95,Audience Anticipation,Highly Positive
video78,0.85,Social Interaction,Highly Positive
video4,0.95,Social Interaction,Highly Positive
video20,0.75,Audience Reaction,Positive
video21,0.85,Audience Reaction,Highly Positive
video62,0.25,Audience Feedback,Negative
video21,0.25,Game Design,Negative
video3,0.5,Game Design,Neutral
video82,0.85,Audience Reaction,Highly Positive
video23,0.25,Social Interaction,Negative
video28,0.5,Information Share,Neutral
video48,0.925,Audience Reaction,Highly Positive
video16,0.5,Audience Reaction,Neutral
video60,0.456,Game Experience,Neutral
video117,0.925,Social Interaction,Highly Positive
video4,0.5,Information Share,Neutral
video40,0.75,Audience Reaction,Positive
video20,0.55,Game Design,Neutral
video4,0.9,Progress and Updates,Highly Positive
video54,0.5,Audience Feedback,Neutral
video54,0.95,Audience Anticipation,Highly Positive
video4,0.925,Game Plot,Highly Positive
video86,0.75,Social Interaction,Positive
video111,0.5,Social Interaction,Neutral
video32,0.95,Audience Reaction,Highly Positive
video82,0.5,Game Design,Neutral
video81,0.925,Audience Reaction,Highly Positive
video79,0.5,Game Requirement,Neutral
video82,0.75,Game Design,Positive
video40,0.5,Game Plot,Neutral
video50,0.35,Game Plot,Negative
video42,0.85,Game Experience,Highly Positive
video93,0.5,Progress and Updates,Neutral
video82,0.85,Audience Reaction,Highly Positive
video16,0.925,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video4,0.357,Audience Reaction,Negative
video8,0.75,Audience Reaction,Positive
video39,0.95,Audience Reaction,Highly Positive
video82,0.75,Audience Reaction,Positive
video82,0.75,Audience Reaction,Positive
video20,0.5,Game Design,Neutral
video47,0.65,Social Interaction,Positive
video16,0.925,Audience Reaction,Highly Positive
video16,0.5,Information Share,Neutral
video82,0.75,Game Design,Positive
video4,0.85,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video4,0.5,Audience Anticipation,Neutral
video51,0.45,Social Interaction,Neutral
video82,0.451,Audience Reaction,Neutral
video13,0.25,Audience Reaction,Negative
video84,0.5,Game Plot,Neutral
video41,0.65,Audience Feedback,Positive
video2,0.5,Game Experience,Neutral
