video,Sentiment Score,Classification,IP,Label
video50,0.45,Social Interaction,Guangdong,Neutral
video56,0.95,Audience Reaction,Hubei,Highly Positive
video56,0.25,Audience Feedback,Jiangxi,Negative
video40,0.85,Social Interaction,Guangdong,Highly Positive
video76,0.5,Game Design,Hunan,Neutral
video22,0.85,Social Interaction,Henan,Highly Positive
video56,0.75,Game Plot,Sichuan,Positive
video7,0.25,Game Experience,Unknown,Negative
video52,0.789,Game Plot,Shaanxi,Positive
video48,0.75,Game Plot,Anhui,Positive
video80,0.85,Social Interaction,Heilongjiang,Highly Positive
video1,0.85,Game Plot,Hubei,Highly Positive
video59,0.75,Game Plot,Sichuan,Positive
video20,0.5,Social Interaction,Xinjiang,Neutral
video69,0.456,Game Design,Shandong,Neutral
video6,0.35,Game Experience,Zhejiang,Negative
video6,0.55,Social Interaction,Guizhou,Neutral
video56,0.75,Audience Reaction,Anhui,Positive
video20,0.5,Social Interaction,Ningxia,Neutral
video56,0.357,Game Plot,Liaoning,Negative
video81,0.25,Game Experience,Hunan,Negative
video55,0.35,Game Plot,Hebei,Negative
video1,0.85,Game Plot,Tianjin,Highly Positive
video28,0.25,Game Experience,Guangdong,Negative
video6,0.5,Social Interaction,Chongqing,Neutral
video40,0.75,Game Plot,Guangdong,Positive
video80,0.95,Audience Reaction,Jiangsu,Highly Positive
video26,0.25,Audience Feedback,Shaanxi,Negative
video48,0.5,Social Interaction,Anhui,Neutral
video46,0.5,Game Design,Zhejiang,Neutral
video6,0.5,Social Interaction,Yunnan,Neutral
video20,0.5,Social Interaction,Shanghai,Neutral
video56,0.925,Audience Anticipation,Liaoning,Highly Positive
video6,0.5,Social Interaction,Anhui,Neutral
video14,0.753,Audience Reaction,Hunan,Positive
video81,0.65,Social Interaction,Henan,Positive
video14,0.95,Audience Reaction,Qinghai,Highly Positive
video80,0.852,Game Plot,Shanghai,Highly Positive
video67,0.925,Audience Anticipation,Shanxi,Highly Positive
video21,0.85,Game Design,Jilin,Highly Positive
video69,0.85,Social Interaction,Hebei,Highly Positive
video80,0.456,Social Interaction,Guangdong,Neutral
video59,0.95,Social Interaction,Shandong,Highly Positive
video15,0.5,Social Interaction,Shandong,Neutral
video36,0.35,Game Experience,Guangdong,Negative
video5,0.925,Game Experience,Guangdong,Highly Positive
video6,0.25,Audience Reaction,Shandong,Negative
video59,0.25,Audience Feedback,Guangdong,Negative
video47,0.5,Social Interaction,Jiangsu,Neutral
video80,0.85,Game Design,Tianjin,Highly Positive
video75,0.85,Social Interaction,Zhejiang,Highly Positive
video6,0.45,Social Interaction,Fujian,Neutral
video21,0.6,Social Interaction,Guangxi,Positive
video60,0.15,Information Share,Guangdong,Highly Negative
video21,0.5,Social Interaction,Sichuan,Neutral
video13,0.75,Game Plot,Hunan,Positive
video6,0.45,Social Interaction,Inner Mongolia,Neutral
video22,0.5,Game Requirement,Shandong,Neutral
video21,0.75,Audience Anticipation,Guangxi,Positive
video59,0.85,Game Plot,Guizhou,Highly Positive
video28,0.85,Game Plot,Liaoning,Highly Positive
video42,0.5,Game Design,Inner Mongolia,Neutral
video60,0.75,Audience Reaction,Beijing,Positive
video14,0.925,Audience Reaction,Sichuan,Highly Positive
video11,0.5,Game Plot,Sichuan,Neutral
video28,0.95,Social Interaction,Zhejiang,Highly Positive
video22,0.75,Social Interaction,Fujian,Positive
video22,0.5,Social Interaction,Hubei,Neutral
video50,0.925,Audience Reaction,Beijing,Highly Positive
video14,0.15,Game Requirement,Anhui,Highly Negative
video14,0.925,Audience Reaction,Heilongjiang,Highly Positive
video40,0.85,Social Interaction,Hunan,Highly Positive
video6,0.5,Game Experience,Heilongjiang,Neutral
video20,0.95,Audience Reaction,Anhui,Highly Positive
video6,0.75,Game Plot,Guangxi,Positive
video56,0.456,Social Interaction,Jilin,Neutral
video22,0.5,Social Interaction,Fujian,Neutral
video17,0.85,Audience Reaction,Shandong,Highly Positive
video20,0.5,Game Requirement,Guangdong,Neutral
video21,0.5,Social Interaction,Hebei,Neutral
video5,0.925,Game Experience,Shandong,Highly Positive
video14,0.925,Audience Reaction,Xinjiang,Highly Positive
video81,0.75,Game Experience,Jiangsu,Positive
video28,0.85,Social Interaction,Guangxi,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video54,0.5,Social Interaction,Shanghai,Neutral
video80,0.85,Game Design,Henan,Highly Positive
video6,0.95,Audience Reaction,Jiangsu,Highly Positive
video6,0.5,Social Interaction,Henan,Neutral
video80,0.5,Social Interaction,Liaoning,Neutral
video56,0.85,Progress and Updates,Henan,Highly Positive
video21,0.75,Social Interaction,Hebei,Positive
video54,0.35,Audience Reaction,Tianjin,Negative
video20,0.75,Game Requirement,Shandong,Positive
video25,0.75,Social Interaction,Zhejiang,Positive
video59,0.985,Audience Reaction,Tianjin,Highly Positive
video89,0.75,Social Interaction,Henan,Positive
video23,0.85,Audience Reaction,Shandong,Highly Positive
video67,0.85,Social Interaction,Hebei,Highly Positive
video6,0.55,Game Design,Sichuan,Neutral
video1,0.412,Social Interaction,Shanghai,Neutral
video21,0.5,Social Interaction,Hebei,Neutral
video27,0.65,Information Share,Hubei,Positive
video47,0.75,Social Interaction,Jiangsu,Positive
video1,0.357,Game Plot,Jiangsu,Negative
video21,0.5,Social Interaction,Shandong,Neutral
video57,0.85,Audience Reaction,Zhejiang,Highly Positive
video70,0.85,Social Interaction,Zhejiang,Highly Positive
video22,0.95,Social Interaction,Shanxi,Highly Positive
video21,0.5,Game Requirement,Inner Mongolia,Neutral
video50,0.25,Audience Reaction,Shaanxi,Negative
video55,0.85,Game Plot,Zhejiang,Highly Positive
video80,0.5,Social Interaction,Jiangsu,Neutral
video60,0.925,Audience Anticipation,Hebei,Highly Positive
video74,0.85,Audience Reaction,Sichuan,Highly Positive
video26,0.45,Social Interaction,Shanghai,Neutral
video6,0.5,Social Interaction,Shanxi,Neutral
video81,0.75,Game Experience,Liaoning,Positive
video20,0.5,Social Interaction,Hubei,Neutral
video75,0.5,Social Interaction,Guangdong,Neutral
video26,0.153,Audience Feedback,Guangxi,Highly Negative
video6,0.25,Information Share,Anhui,Negative
video41,0.25,Game Plot,Shanghai,Negative
video15,0.5,Social Interaction,Henan,Neutral
video14,0.85,Social Interaction,Jiangsu,Highly Positive
video22,0.65,Social Interaction,Hubei,Positive
video20,0.85,Audience Anticipation,Jilin,Highly Positive
video6,0.5,Social Interaction,Hunan,Neutral
video21,0.925,Audience Reaction,Hebei,Highly Positive
video54,0.65,Social Interaction,Anhui,Positive
video36,0.357,Audience Reaction,Liaoning,Negative
video6,0.45,Social Interaction,Guangdong,Neutral
video56,0.85,Social Interaction,Tianjin,Highly Positive
video15,0.25,Game Experience,Fujian,Negative
video13,0.45,Audience Reaction,Fujian,Neutral
video59,0.5,Game Plot,Heilongjiang,Neutral
video40,0.85,Game Plot,Shandong,Highly Positive
video41,0.985,Audience Reaction,Guangxi,Highly Positive
video14,0.5,Social Interaction,Jiangsu,Neutral
video22,0.925,Progress and Updates,Hebei,Highly Positive
video80,0.5,Audience Reaction,Zhejiang,Neutral
video59,0.85,Game Experience,Heilongjiang,Highly Positive
video22,0.5,Social Interaction,Guangxi,Neutral
video22,0.925,Audience Reaction,Guangdong,Highly Positive
video14,0.75,Social Interaction,Sichuan,Positive
video6,0.5,Game Design,Hainan,Neutral
video21,0.45,Audience Reaction,Shandong,Neutral
video80,0.925,Social Interaction,Sichuan,Highly Positive
video6,0.5,Social Interaction,Shanxi,Neutral
video56,0.5,Game Plot,Beijing,Neutral
video59,0.85,Social Interaction,Guangdong,Highly Positive
video14,0.45,Game Experience,Guangdong,Neutral
video22,0.75,Game Requirement,Fujian,Positive
video20,0.85,Social Interaction,Hubei,Highly Positive
video83,0.95,Audience Reaction,Xinjiang,Highly Positive
video6,0.5,Game Experience,Beijing,Neutral
video82,0.75,Game Experience,Jilin,Positive
video50,0.5,Social Interaction,Xinjiang,Neutral
video21,0.925,Game Design,Shanghai,Highly Positive
video80,0.95,Audience Reaction,Sichuan,Highly Positive
video80,0.45,Social Interaction,Hebei,Neutral
video21,0.15,Audience Feedback,Qinghai,Highly Negative
video20,0.85,Information Share,Sichuan,Highly Positive
video14,0.85,Audience Reaction,Guangdong,Highly Positive
video21,0.85,Audience Reaction,Hebei,Highly Positive
video83,0.5,Social Interaction,Shanghai,Neutral
video6,0.5,Social Interaction,Hunan,Neutral
video86,0.652,Game Experience,Gansu,Positive
video47,0.5,Game Plot,Guangxi,Neutral
video8,0.5,Game Design,Heilongjiang,Neutral
video78,0.5,Information Share,Jiangsu,Neutral
video6,0.95,Audience Reaction,Chongqing,Highly Positive
video1,0.925,Game Plot,Shanghai,Highly Positive
video28,0.85,Social Interaction,Jiangxi,Highly Positive
video47,0.75,Game Plot,Guangxi,Positive
video47,0.85,Audience Reaction,Hebei,Highly Positive
video21,0.95,Information Share,Jiangsu,Highly Positive
video35,0.85,Audience Anticipation,Guangdong,Highly Positive
video57,0.75,Audience Reaction,Guangxi,Positive
video22,0.25,Audience Reaction,Beijing,Negative
video50,0.456,Audience Reaction,Tianjin,Neutral
video80,0.45,Social Interaction,Hubei,Neutral
video56,0.5,Social Interaction,Anhui,Neutral
video59,0.25,Audience Reaction,Chongqing,Negative
video22,0.5,Game Requirement,Hainan,Neutral
video46,0.25,Social Interaction,Guangdong,Negative
video80,0.85,Social Interaction,Jiangsu,Highly Positive
video69,0.85,Audience Anticipation,Guangdong,Highly Positive
video62,0.5,Game Plot,Shandong,Neutral
video55,0.923,Game Plot,Henan,Highly Positive
video47,0.5,Social Interaction,Shandong,Neutral
video46,0.5,Audience Feedback,Fujian,Neutral
video6,0.5,Social Interaction,Heilongjiang,Neutral
video22,0.925,Social Interaction,Henan,Highly Positive
video22,0.35,Audience Reaction,Shandong,Negative
video88,0.925,Audience Reaction,Guangdong,Highly Positive
video55,0.852,Game Plot,Shaanxi,Highly Positive
video50,0.5,Social Interaction,Fujian,Neutral
video54,0.85,Social Interaction,Anhui,Highly Positive
video50,0.852,Game Plot,Guangdong,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Jiangxi,Neutral
video26,0.15,Social Interaction,Hunan,Highly Negative
video21,0.75,Audience Reaction,Zhejiang,Positive
video11,0.45,Social Interaction,Zhejiang,Neutral
video16,0.85,Audience Reaction,Guangdong,Highly Positive
video67,0.65,Game Plot,Sichuan,Positive
video88,0.5,Social Interaction,Fujian,Neutral
video50,0.85,Game Plot,Guangdong,Highly Positive
video60,0.5,Social Interaction,Jiangxi,Neutral
video60,0.85,Game Plot,Shanghai,Highly Positive
video81,0.75,Social Interaction,Henan,Positive
video80,0.75,Audience Reaction,Sichuan,Positive
video74,0.925,Audience Reaction,Jiangsu,Highly Positive
video55,0.85,Social Interaction,Guangdong,Highly Positive
video14,0.85,Social Interaction,Unknown,Highly Positive
video14,0.5,Social Interaction,Chongqing,Neutral
video80,0.5,Audience Reaction,Henan,Neutral
video14,0.985,Audience Reaction,Guangxi,Highly Positive
video88,0.5,Progress and Updates,Henan,Neutral
video54,0.45,Audience Reaction,Zhejiang,Neutral
video74,0.25,Game Design,Unknown,Negative
video50,0.35,Audience Reaction,Shaanxi,Negative
video22,0.5,Information Share,Gansu,Neutral
video17,0.75,Social Interaction,Guangdong,Positive
video26,0.25,Social Interaction,Jiangsu,Negative
video21,0.25,Social Interaction,Jiangsu,Negative
video5,0.85,Game Experience,Beijing,Highly Positive
video54,0.25,Audience Feedback,Zhejiang,Negative
video41,0.925,Audience Reaction,Zhejiang,Highly Positive
video40,0.852,Social Interaction,Fujian,Highly Positive
video44,0.925,Social Interaction,Heilongjiang,Highly Positive
video80,0.95,Audience Reaction,Sichuan,Highly Positive
video22,0.75,Social Interaction,Fujian,Positive
video48,0.5,Game Design,Beijing,Neutral
video86,0.456,Game Experience,Jiangsu,Neutral
video21,0.85,Game Experience,Zhejiang,Highly Positive
video56,0.45,Social Interaction,Sichuan,Neutral
video81,0.5,Social Interaction,Henan,Neutral
video6,0.75,Audience Reaction,Shandong,Positive
video62,0.35,Game Plot,Gansu,Negative
video7,0.75,Audience Reaction,Anhui,Positive
video46,0.65,Game Plot,Beijing,Positive
video79,0.75,Game Experience,Guangdong,Positive
video21,0.85,Information Share,Guangdong,Highly Positive
video62,0.95,Audience Reaction,Shaanxi,Highly Positive
video2,0.45,Social Interaction,Henan,Neutral
video21,0.925,Game Plot,Guangdong,Highly Positive
video80,0.85,Social Interaction,Henan,Highly Positive
video48,0.5,Social Interaction,Liaoning,Neutral
video17,0.925,Game Design,Unknown,Highly Positive
video59,0.75,Audience Reaction,Zhejiang,Positive
video50,0.5,Social Interaction,Shandong,Neutral
video22,0.45,Audience Feedback,Xinjiang,Neutral
video80,0.75,Information Share,Henan,Positive
video80,0.45,Social Interaction,Ningxia,Neutral
video6,0.5,Audience Reaction,Shaanxi,Neutral
video47,0.5,Audience Reaction,Jiangsu,Neutral
video6,0.5,Social Interaction,Guangdong,Neutral
video1,0.5,Social Interaction,Sichuan,Neutral
video56,0.85,Social Interaction,Heilongjiang,Highly Positive
video65,0.925,Game Plot,Beijing,Highly Positive
video84,0.25,Game Experience,Shanxi,Negative
video81,0.852,Game Experience,Guangdong,Highly Positive
video59,0.85,Game Plot,Shanxi,Highly Positive
video59,0.75,Audience Reaction,Guangdong,Positive
video40,0.85,Game Plot,Fujian,Highly Positive
video14,0.75,Game Experience,Shandong,Positive
video46,0.5,Social Interaction,Hunan,Neutral
video21,0.5,Social Interaction,Guangdong,Neutral
video21,0.0,Social Interaction,Shaanxi,Highly Negative
video6,0.5,Social Interaction,Jilin,Neutral
video41,0.456,Social Interaction,Inner Mongolia,Neutral
video46,0.75,Game Plot,Jiangsu,Positive
video80,0.75,Social Interaction,Guangdong,Positive
video6,0.65,Social Interaction,Hunan,Positive
video50,0.85,Game Plot,Anhui,Highly Positive
video20,0.888,Audience Reaction,Liaoning,Highly Positive
video80,0.5,Social Interaction,Guangdong,Neutral
video15,0.0,Social Interaction,Zhejiang,Highly Negative
video6,0.85,Game Plot,Heilongjiang,Highly Positive
video80,0.95,Audience Reaction,Liaoning,Highly Positive
video86,0.65,Game Experience,Guizhou,Positive
video11,0.85,Audience Reaction,Beijing,Highly Positive
video80,0.95,Audience Reaction,Sichuan,Highly Positive
video80,0.85,Audience Reaction,Guangdong,Highly Positive
video6,0.5,Social Interaction,Hebei,Neutral
video29,0.25,Audience Feedback,Chongqing,Negative
video6,0.15,Social Interaction,Guangdong,Highly Negative
video15,0.65,Social Interaction,Chongqing,Positive
video47,0.5,Game Plot,Jiangsu,Neutral
video15,0.5,Social Interaction,Guangdong,Neutral
video34,0.5,Social Interaction,Sichuan,Neutral
video48,0.999,Social Interaction,Shandong,Highly Positive
video56,0.75,Game Plot,Zhejiang,Positive
video6,0.85,Social Interaction,Hubei,Highly Positive
video62,0.45,Game Plot,Hebei,Neutral
video81,0.5,Social Interaction,Hebei,Neutral
video22,0.5,Social Interaction,Guangdong,Neutral
video62,0.85,Game Plot,Guangdong,Highly Positive
video28,0.789,Game Design,Gansu,Positive
video6,0.0,Game Plot,Henan,Highly Negative
video75,0.85,Game Plot,Zhejiang,Highly Positive
video21,0.75,Social Interaction,Yunnan,Positive
video46,0.85,Game Plot,Shanghai,Highly Positive
video5,0.95,Game Experience,Shanghai,Highly Positive
video59,0.999,Social Interaction,Inner Mongolia,Highly Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video1,0.925,Game Plot,Guangxi,Highly Positive
video59,0.85,Game Design,Sichuan,Highly Positive
video16,0.925,Audience Anticipation,Zhejiang,Highly Positive
video86,0.85,Game Experience,Xinjiang,Highly Positive
video56,0.5,Social Interaction,Jiangxi,Neutral
video6,0.652,Game Experience,Shandong,Positive
video21,0.985,Social Interaction,Gansu,Highly Positive
video40,0.45,Audience Reaction,Liaoning,Neutral
video21,0.95,Audience Anticipation,Guangdong,Highly Positive
video80,0.85,Audience Feedback,Shandong,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video46,0.35,Social Interaction,Guangdong,Negative
video59,0.85,Social Interaction,Liaoning,Highly Positive
video44,0.925,Audience Reaction,Guangdong,Highly Positive
video14,0.5,Social Interaction,Xinjiang,Neutral
video22,0.95,Social Interaction,Sichuan,Highly Positive
video6,0.5,Social Interaction,Liaoning,Neutral
video48,0.999,Social Interaction,Hebei,Highly Positive
video54,0.5,Social Interaction,Henan,Neutral
video80,0.5,Social Interaction,Heilongjiang,Neutral
video46,0.5,Social Interaction,Shaanxi,Neutral
video80,0.65,Game Design,Shanxi,Positive
video22,0.85,Social Interaction,Shandong,Highly Positive
video41,0.852,Game Plot,Taiwan,Highly Positive
video26,0.456,Audience Reaction,Henan,Neutral
video22,0.925,Audience Anticipation,Guangdong,Highly Positive
video56,0.85,Social Interaction,Heilongjiang,Highly Positive
video67,0.925,Social Interaction,Yunnan,Highly Positive
video47,0.5,Game Plot,Anhui,Neutral
video6,0.65,Social Interaction,Zhejiang,Positive
video22,0.5,Information Share,Qinghai,Neutral
video22,1.0,Audience Reaction,Jilin,Highly Positive
video20,0.99,Information Share,Guangdong,Highly Positive
video50,0.75,Game Experience,Inner Mongolia,Positive
video6,0.852,Social Interaction,Guangdong,Highly Positive
video21,0.75,Social Interaction,Zhejiang,Positive
video20,0.95,Audience Reaction,Guangxi,Highly Positive
video6,0.5,Social Interaction,Hebei,Neutral
video50,0.5,Social Interaction,Zhejiang,Neutral
video1,0.5,Social Interaction,Guangdong,Neutral
video56,0.75,Game Plot,Jiangsu,Positive
video21,0.75,Audience Reaction,Shaanxi,Positive
video1,0.85,Game Design,Shanghai,Highly Positive
video50,0.957,Social Interaction,Hunan,Highly Positive
video60,0.35,Game Experience,Jilin,Negative
video14,0.925,Audience Reaction,Guangdong,Highly Positive
video1,0.925,Game Plot,Shaanxi,Highly Positive
video26,0.5,Social Interaction,Guangdong,Neutral
video27,0.25,Audience Feedback,Henan,Negative
video2,0.85,Audience Reaction,Henan,Highly Positive
video21,0.15,Social Interaction,Chongqing,Highly Negative
video21,0.95,Audience Anticipation,Anhui,Highly Positive
video7,0.456,Game Experience,Zhejiang,Neutral
video76,0.456,Game Experience,Liaoning,Neutral
video80,0.85,Social Interaction,Fujian,Highly Positive
video21,0.15,Audience Reaction,Hebei,Highly Negative
video6,0.75,Social Interaction,Jilin,Positive
video21,0.925,Game Design,Heilongjiang,Highly Positive
video6,0.45,Social Interaction,Henan,Neutral
video46,0.5,Social Interaction,Beijing,Neutral
video60,0.5,Game Experience,Jiangsu,Neutral
video40,0.5,Social Interaction,Gansu,Neutral
video80,0.85,Game Experience,Jiangxi,Highly Positive
video88,0.85,Audience Reaction,Hebei,Highly Positive
video82,0.456,Game Experience,Guangdong,Neutral
video56,0.789,Audience Reaction,Shanghai,Positive
video50,0.888,Audience Reaction,Zhejiang,Highly Positive
video14,0.95,Audience Reaction,Qinghai,Highly Positive
video6,0.925,Audience Reaction,Sichuan,Highly Positive
video26,0.25,Social Interaction,Guizhou,Negative
video26,0.95,Social Interaction,Hunan,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video22,0.5,Social Interaction,Shanghai,Neutral
video59,0.85,Game Plot,Jiangsu,Highly Positive
video59,0.85,Social Interaction,Henan,Highly Positive
video88,0.15,Social Interaction,Beijing,Highly Negative
video46,0.925,Audience Reaction,Tianjin,Highly Positive
video80,0.888,Social Interaction,Sichuan,Highly Positive
video56,0.456,Audience Reaction,Sichuan,Neutral
video62,0.9,Game Design,Sichuan,Highly Positive
video6,0.5,Social Interaction,Zhejiang,Neutral
video50,0.75,Audience Reaction,Liaoning,Positive
video47,0.95,Audience Reaction,Xinjiang,Highly Positive
video80,0.75,Social Interaction,Zhejiang,Positive
video80,0.75,Game Experience,Jiangsu,Positive
video3,0.85,Social Interaction,Jiangxi,Highly Positive
video80,0.85,Audience Reaction,Henan,Highly Positive
video80,0.75,Game Design,Beijing,Positive
video41,0.85,Audience Reaction,Hubei,Highly Positive
video1,0.925,Audience Reaction,Liaoning,Highly Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video50,0.85,Social Interaction,Guangdong,Highly Positive
video20,0.852,Game Plot,Shandong,Highly Positive
video6,0.5,Game Plot,Tianjin,Neutral
video20,0.85,Social Interaction,Anhui,Highly Positive
video1,0.85,Game Plot,Jiangsu,Highly Positive
video6,0.85,Social Interaction,Jiangsu,Highly Positive
video80,0.357,Game Design,Chongqing,Negative
video22,0.852,Social Interaction,Shaanxi,Highly Positive
video35,0.25,Audience Feedback,Shaanxi,Negative
video3,0.95,Social Interaction,Guangdong,Highly Positive
video17,0.5,Game Design,Guizhou,Neutral
video36,0.35,Audience Feedback,Hubei,Negative
video21,0.95,Information Share,Guangdong,Highly Positive
video50,0.789,Game Design,Jiangsu,Positive
video22,0.45,Social Interaction,Guangdong,Neutral
video1,0.85,Game Plot,Hunan,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video56,0.5,Game Requirement,Liaoning,Neutral
video6,0.5,Game Plot,Hunan,Neutral
video62,0.925,Audience Reaction,Jiangsu,Highly Positive
video59,0.85,Game Experience,Guangxi,Highly Positive
video1,0.75,Social Interaction,Zhejiang,Positive
video2,0.456,Social Interaction,Shandong,Neutral
video46,0.85,Game Plot,Sichuan,Highly Positive
video21,0.5,Social Interaction,Shaanxi,Neutral
video42,0.85,Social Interaction,Guangxi,Highly Positive
video14,0.95,Audience Reaction,Sichuan,Highly Positive
video20,0.75,Game Requirement,Hunan,Positive
video73,0.85,Audience Reaction,Hunan,Highly Positive
video65,0.85,Game Plot,Shandong,Highly Positive
video82,0.5,Audience Reaction,Inner Mongolia,Neutral
video88,0.25,Game Experience,Liaoning,Negative
video22,0.85,Social Interaction,Guangdong,Highly Positive
video6,0.5,Social Interaction,Guizhou,Neutral
video59,0.95,Audience Reaction,Hebei,Highly Positive
video56,0.45,Audience Reaction,Guangxi,Neutral
video50,0.925,Game Design,Yunnan,Highly Positive
video59,0.999,Social Interaction,Guangdong,Highly Positive
video1,0.95,Social Interaction,Hubei,Highly Positive
video59,0.75,Game Experience,Anhui,Positive
video34,0.5,Social Interaction,Hebei,Neutral
video49,0.75,Social Interaction,Shandong,Positive
video6,0.65,Audience Reaction,Tianjin,Positive
video2,0.35,Social Interaction,Jiangsu,Negative
video80,0.5,Social Interaction,Inner Mongolia,Neutral
video28,0.65,Game Plot,Zhejiang,Positive
video56,0.5,Game Plot,Shandong,Neutral
video50,0.654,Game Plot,Shandong,Positive
video88,0.5,Game Experience,Zhejiang,Neutral
video81,0.5,Game Experience,Hebei,Neutral
video14,0.95,Social Interaction,Guangdong,Highly Positive
video81,0.5,Social Interaction,Shanghai,Neutral
video67,0.85,Social Interaction,Fujian,Highly Positive
video42,0.0,Social Interaction,Hebei,Highly Negative
video54,0.888,Audience Reaction,Hunan,Highly Positive
video49,0.45,Social Interaction,Hebei,Neutral
video6,0.999,Social Interaction,Zhejiang,Highly Positive
video46,0.75,Game Plot,Liaoning,Positive
video21,1.0,Audience Reaction,Jiangsu,Highly Positive
video14,0.85,Social Interaction,Sichuan,Highly Positive
video56,0.65,Game Plot,Beijing,Positive
video47,0.85,Audience Reaction,Jiangsu,Highly Positive
video6,0.8,Game Plot,Zhejiang,Highly Positive
video55,0.75,Audience Reaction,Liaoning,Positive
video13,0.95,Social Interaction,Hebei,Highly Positive
video21,0.925,Social Interaction,Inner Mongolia,Highly Positive
video10,0.9,Social Interaction,Hunan,Highly Positive
video26,0.456,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Liaoning,Neutral
video6,0.5,Game Experience,Xinjiang,Neutral
video21,0.95,Audience Reaction,Beijing,Highly Positive
video21,0.85,Social Interaction,Heilongjiang,Highly Positive
video20,0.85,Information Share,Sichuan,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video50,0.85,Game Plot,Yunnan,Highly Positive
video56,0.5,Social Interaction,Sichuan,Neutral
video21,0.25,Audience Feedback,Xinjiang,Negative
video46,0.75,Game Plot,Henan,Positive
video22,0.85,Social Interaction,Sichuan,Highly Positive
video83,0.75,Game Experience,Jiangsu,Positive
video80,0.5,Game Experience,Shanghai,Neutral
video47,0.85,Game Design,Henan,Highly Positive
video41,0.5,Social Interaction,Jilin,Neutral
video26,0.456,Social Interaction,Unknown,Neutral
video81,0.95,Audience Reaction,Henan,Highly Positive
video59,0.5,Audience Reaction,Yunnan,Neutral
video21,0.25,Audience Reaction,Sichuan,Negative
video2,0.852,Audience Reaction,Zhejiang,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video76,0.5,Game Requirement,Inner Mongolia,Neutral
video59,0.5,Game Plot,Jiangsu,Neutral
video59,0.95,Game Design,Inner Mongolia,Highly Positive
video56,0.45,Social Interaction,Jiangsu,Neutral
video41,0.852,Game Plot,Zhejiang,Highly Positive
video47,0.923,Game Plot,Hunan,Highly Positive
video59,0.652,Game Experience,Hunan,Positive
video81,0.258,Social Interaction,Zhejiang,Negative
video86,0.5,Audience Reaction,Henan,Neutral
video89,0.5,Social Interaction,Shaanxi,Neutral
video56,0.456,Social Interaction,Shandong,Neutral
video66,0.85,Game Plot,Guangxi,Highly Positive
video6,0.5,Social Interaction,Guangdong,Neutral
video20,0.5,Social Interaction,Jiangxi,Neutral
video22,0.5,Social Interaction,Hunan,Neutral
video88,0.65,Game Experience,Unknown,Positive
video6,0.25,Game Plot,Shanghai,Negative
video53,0.85,Social Interaction,Guangdong,Highly Positive
video80,0.45,Audience Reaction,Hebei,Neutral
video75,0.5,Social Interaction,Guangdong,Neutral
video25,0.5,Social Interaction,Fujian,Neutral
video6,0.5,Social Interaction,Hainan,Neutral
video14,0.5,Game Requirement,Guangdong,Neutral
